foul_id,event_id,match,date,play_id,minute_raw,minute_num,period,foul_team,is_argentina,foul_player,fk_winner_player,fk_winner_team,fk_zone,x,y,text,carded,card_link_type,card_type,card_minute,card_player,l2_matched,l2_incident_ids,l2_claim_class,l2_n_sources,l2_consensus,l2_note,arg_uncarded_candidate
760483_49648233,760483,JOR-ARG GS,2026-06-28,49648233,90'+4',90.04,2,Jordan,0,Mohammad Abu Zraiq,,,,28.8,52.0,Foul by Mohammad Abu Zraiq (Jordan).,1,player_pm3,yellow-card,90'+4',Mohammad Abu Zraiq,0,,,,,,0
760500_49687202,760500,ARG-CPV R32,2026-07-03,49687202,4',4.0,1,Argentina,1,Rodrigo De Paul,,,,37.8,4.4,Foul by Rodrigo De Paul (Argentina).,0,,,,,0,,,,,,1
760500_49687303,760500,ARG-CPV R32,2026-07-03,49687303,10',10.0,1,Argentina,1,Cristian Romero,Jovane Cabral,Cabo Verde,attacking half,47.0,47.0,Jovane Cabral (Cabo Verde) wins a free kick in the attacking half.,0,,,,,0,,,,,,1
760500_49687420,760500,ARG-CPV R32,2026-07-03,49687420,17',17.0,1,Cape Verde,0,Jovane Cabral,,,,24.3,39.1,Foul by Jovane Cabral (Cabo Verde).,0,,,,,0,,,,,,0
760500_49687422,760500,ARG-CPV R32,2026-07-03,49687422,17',17.0,1,Cape Verde,0,,Lionel Messi,Argentina,attacking half,78.6,61.3,Lionel Messi (Argentina) wins a free kick in the attacking half.,0,,,,,0,,,,,,0
760500_49687602,760500,ARG-CPV R32,2026-07-03,49687602,32',32.0,1,Argentina,1,Nahuel Molina,Jovane Cabral,Cabo Verde,defensive half,58.6,27.0,Jovane Cabral (Cabo Verde) wins a free kick in the defensive half.,0,,,,,0,,,,,,1
760500_49687737,760500,ARG-CPV R32,2026-07-03,49687737,40',40.0,1,Cape Verde,0,Deroy Duarte,,,,64.3,23.9,Foul by Deroy Duarte (Cabo Verde).,0,,,,,0,,,,,,0
760500_49687776,760500,ARG-CPV R32,2026-07-03,49687776,42',42.0,1,Cape Verde,0,Deroy Duarte,,,,67.8,75.4,Foul by Deroy Duarte (Cabo Verde).,0,,,,,0,,,,,,0
760500_49687787,760500,ARG-CPV R32,2026-07-03,49687787,43',43.0,1,Cape Verde,0,Diney Borges,,,,59.4,92.4,Foul by Diney Borges (Cabo Verde).,0,,,,,0,,,,,,0
760500_49687791,760500,ARG-CPV R32,2026-07-03,49687791,43',43.0,1,Argentina,1,Lautaro Martínez,Vozinha,Cabo Verde,defensive half,94.2,25.6,Vozinha (Cabo Verde) wins a free kick in the defensive half.,0,,,,,0,,,,,,1
760500_49687872,760500,ARG-CPV R32,2026-07-03,49687872,45'+2',45.02,1,Argentina,1,Lionel Messi,Sidny Cabral,Cabo Verde,defensive half,69.8,33.8,Sidny Cabral (Cabo Verde) wins a free kick in the defensive half.,0,,,,,0,,,,,,1
760500_49687979,760500,ARG-CPV R32,2026-07-03,49687979,50',50.0,2,Argentina,1,Lautaro Martínez,Pico Lopes,Cabo Verde,defensive half,59.8,77.2,Pico Lopes (Cabo Verde) wins a free kick in the defensive half.,0,,,,,0,,,,,,1
760500_49688032,760500,ARG-CPV R32,2026-07-03,49688032,53',53.0,2,Argentina,1,Thiago Almada,Steven Moreira,Cabo Verde,defensive half,69.9,90.2,Steven Moreira (Cabo Verde) wins a free kick in the defensive half.,0,,,,,0,,,,,,1
760500_49688127,760500,ARG-CPV R32,2026-07-03,49688127,58',58.0,2,Argentina,1,Cristian Romero,Laros Duarte,Cabo Verde,defensive half,55.4,25.1,Laros Duarte (Cabo Verde) wins a free kick in the defensive half.,0,,,,,0,,,,,,1
760500_49688265,760500,ARG-CPV R32,2026-07-03,49688265,68',68.0,2,Cape Verde,0,,Lionel Messi,Argentina,attacking half,73.0,39.4,Lionel Messi (Argentina) wins a free kick in the attacking half.,1,team_close,yellow-card,68',Kevin Pina,0,,,,,,0
760500_49688326,760500,ARG-CPV R32,2026-07-03,49688326,71',71.0,2,Cape Verde,0,Deroy Duarte,,,,20.4,35.6,Foul by Deroy Duarte (Cabo Verde).,0,,,,,0,,,,,,0
760500_49688345,760500,ARG-CPV R32,2026-07-03,49688345,77',77.0,2,Argentina,1,Alexis Mac Allister,Jamiro Monteiro,Cabo Verde,attacking half,32.6,38.4,Jamiro Monteiro (Cabo Verde) wins a free kick in the attacking half.,0,,,,,0,,,,,,1
760500_49688350,760500,ARG-CPV R32,2026-07-03,49688350,78',78.0,2,Cape Verde,0,Dailon Livramento,,,,87.0,83.0,Foul by Dailon Livramento (Cabo Verde).,0,,,,,0,,,,,,0
760500_49688366,760500,ARG-CPV R32,2026-07-03,49688366,79',79.0,2,Cape Verde,0,Kevin Pina,,,,58.0,12.3,Foul by Kevin Pina (Cabo Verde).,0,,,,,0,,,,,,0
760500_49688594,760500,ARG-CPV R32,2026-07-03,49688594,90'+4',90.04,2,Cape Verde,0,Jamiro Monteiro,,,,75.8,37.0,Foul by Jamiro Monteiro (Cabo Verde).,0,,,,,0,,,,,,0
760500_49688599,760500,ARG-CPV R32,2026-07-03,49688599,90'+5',90.05,2,Argentina,1,Julián Alvarez,Vozinha,Cabo Verde,defensive half,4.6,50.2,Vozinha (Cabo Verde) wins a free kick in the defensive half.,0,,,,,0,,,,,,1
760500_49688604,760500,ARG-CPV R32,2026-07-03,49688604,90'+6',90.06,2,Argentina,1,Nico González,Steven Moreira,Cabo Verde,attacking half,40.4,74.0,Steven Moreira (Cabo Verde) wins a free kick in the attacking half.,0,,,,,0,,,,,,1
760500_49688637,760500,ARG-CPV R32,2026-07-03,49688637,90'+8',90.08,2,Cape Verde,0,Willy Semedo,,,,23.8,96.7,Foul by Willy Semedo (Cabo Verde).,0,,,,,0,,,,,,0
760500_49689253,760500,ARG-CPV R32,2026-07-03,49689253,107',107.0,4,Cape Verde,0,Jamiro Monteiro,,,,26.2,71.6,Foul by Jamiro Monteiro (Cabo Verde).,0,,,,,0,,,,,,0
760500_49689336,760500,ARG-CPV R32,2026-07-03,49689336,110',110.0,4,Cape Verde,0,Willy Semedo,,,,68.0,8.0,Foul by Willy Semedo (Cabo Verde).,0,,,,,0,,,,,,0
760500_49689475,760500,ARG-CPV R32,2026-07-03,49689475,115',115.0,4,Argentina,1,Gonzalo Montiel,Hélio Varela,Cabo Verde,left wing,12.4,18.4,Hélio Varela (Cabo Verde) wins a free kick on the left wing.,1,player_pm3,yellow-card,115',Gonzalo Montiel,0,,,,,,0
760509_49730788,760509,ARG-EGY R16,2026-07-07,49730788,5',5.0,1,Argentina,1,Enzo Fernández,Mohamed Salah,Egypt,defensive half,60.3,83.6,Mohamed Salah (Egypt) wins a free kick in the defensive half.,0,,,,,0,,,,,,1
760509_49730840,760509,ARG-EGY R16,2026-07-07,49730840,7',7.0,1,Argentina,1,Nicolás Tagliafico,,,,77.6,5.2,Foul by Nicolás Tagliafico (Argentina).,0,,,,,0,,,,,,1
760509_49730907,760509,ARG-EGY R16,2026-07-07,49730907,11',11.0,1,Argentina,1,Enzo Fernández,Karim Hafez,Egypt,defensive half,57.8,30.1,Karim Hafez (Egypt) wins a free kick in the defensive half.,0,,,,,0,,,,,,1
760509_49730954,760509,ARG-EGY R16,2026-07-07,49730954,13',13.0,1,Argentina,1,Rodrigo De Paul,Emam Ashour,Egypt,attacking half,39.2,48.7,Emam Ashour (Egypt) wins a free kick in the attacking half.,0,,,,,0,,,,,,1
760509_49731025,760509,ARG-EGY R16,2026-07-07,49731025,18',18.0,1,Egypt,0,Yasser Ibrahim,,,,60.2,14.2,Foul by Yasser Ibrahim (Egypt).,0,,,,,0,,,,,,0
760509_49731036,760509,ARG-EGY R16,2026-07-07,49731036,19',19.0,1,Egypt,0,,,,,14.0,30.8,Penalty conceded by Haissem Hassan (Egypt) after a foul in the penalty area.,0,,,,,0,,,,,,0
760509_49731044,760509,ARG-EGY R16,2026-07-07,49731044,21',21.0,1,Argentina,1,Cristian Romero,Emam Ashour,Egypt,defensive half,60.4,6.6,Emam Ashour (Egypt) wins a free kick in the defensive half.,0,,,,,0,,,,,,1
760509_49731075,760509,ARG-EGY R16,2026-07-07,49731075,23',23.0,1,Argentina,1,Lisandro Martínez,Mohamed Salah,Egypt,defensive half,41.4,22.0,Mohamed Salah (Egypt) wins a free kick in the defensive half.,0,,,,,0,,,,,,1
760509_49731162,760509,ARG-EGY R16,2026-07-07,49731162,30',30.0,1,Egypt,0,Marwan Attia,,,,32.2,43.4,Foul by Marwan Attia (Egypt).,0,,,,,0,,,,,,0
760509_49731195,760509,ARG-EGY R16,2026-07-07,49731195,33',33.0,1,Egypt,0,Mohanad Lasheen,,,,74.8,20.3,Foul by Mohanad Lasheen (Egypt).,0,,,,,0,,,,,,0
760509_49731385,760509,ARG-EGY R16,2026-07-07,49731385,44',44.0,1,Egypt,0,Marwan Attia,,,,38.2,78.9,Foul by Marwan Attia (Egypt).,0,,,,,0,,,,,,0
760509_49731396,760509,ARG-EGY R16,2026-07-07,49731396,45',45.0,1,Argentina,1,Julián Alvarez,Mohamed Salah,Egypt,attacking half,55.8,74.2,Mohamed Salah (Egypt) wins a free kick in the attacking half.,0,,,,,0,,,,,,1
760509_49731436,760509,ARG-EGY R16,2026-07-07,49731436,45'+2',45.02,1,Argentina,1,Julián Alvarez,Ramy Rabia,Egypt,defensive half,60.6,26.0,Ramy Rabia (Egypt) wins a free kick in the defensive half.,0,,,,,0,,,,,,1
