foul_id,event_id,match,minute_raw,minute_num,foul_team,is_argentina,foul_player,carded,n_opta_foul_lines_pm1,opta_snip,n_media_lines_pm2,media_sources,media_snip,has_media_narration
760483_49646875,760483,JOR-ARG GS,49',49.0,Argentina,1,Nicolás Tagliafico,0,4,Mousa Al Tamari (Jordan) wins a free kick in the defensive half. || Foul by Nicolás Tagliafico (Argentina). || Foul by Ali Olwan (Jordan).,0,,,0
760483_49646888,760483,JOR-ARG GS,49',49.0,Jordan,0,Ali Olwan,0,4,Mousa Al Tamari (Jordan) wins a free kick in the defensive half. || Foul by Nicolás Tagliafico (Argentina). || Foul by Ali Olwan (Jordan).,0,,,0
760483_49647364,760483,JOR-ARG GS,64',64.0,Jordan,0,Yazan Al Arab,1,4,Foul by Yazan Al Arab (Jordan). || Alexis Mac Allister (Argentina) wins a free kick in the attacking half. || Yazan Al Arab (Jordan) is shown the yellow card for a bad foul.,0,,,0
760483_49647445,760483,JOR-ARG GS,67',67.0,Jordan,0,Mahmoud Al Mardi,0,2,Foul by Mahmoud Al Mardi (Jordan). || Alexis Mac Allister (Argentina) wins a free kick in the attacking half.,0,,,0
760483_49647666,760483,JOR-ARG GS,75',75.0,Argentina,1,Nicolás Otamendi,0,2,Mahmoud Al Mardi (Jordan) wins a free kick on the left wing. || Foul by Nicolás Otamendi (Argentina).,2,bbc,"[bbc] , substituted for Amer Jamous at 76 minutes || [bbc] , substituted for Amer Jamous at 76 minutes",1
760483_49647773,760483,JOR-ARG GS,79',79.0,Jordan,0,Amer Jamous,0,3,"Foul by Amer Jamous (Jordan). || Lionel Messi (Argentina) wins a free kick in the attacking half. || Goal! Jordan 1, Argentina 3. Lionel Messi (Argentina) from a free kick with a left footed shot to the bottom left corner",0,,,0
760483_49647931,760483,JOR-ARG GS,85',85.0,Jordan,0,Ehsan Haddad,0,2,Foul by Ehsan Haddad (Jordan). || Nicolás Tagliafico (Argentina) wins a free kick in the defensive half.,0,,,0
760483_49648053,760483,JOR-ARG GS,88',88.0,Jordan,0,Husam Abu Dahab,0,2,Foul by Husam Abu Dahab (Jordan). || Valentín Barco (Argentina) wins a free kick on the right wing.,6,bbc,"[bbc] , substituted for Saleem Obaid at 90 minutes || [bbc] , substituted for Mohammad Abu Zraiq at 90 minutes || [bbc] , Yellow Card at 90 minutes plus 4",1
760483_49648233,760483,JOR-ARG GS,90'+4',90.04,Jordan,0,Mohammad Abu Zraiq,1,3,Foul by Mohammad Abu Zraiq (Jordan). || Alexis Mac Allister (Argentina) wins a free kick in the defensive half. || Mohammad Abu Zraiq (Jordan) is shown the yellow card for a bad foul.,6,bbc,"[bbc] , substituted for Saleem Obaid at 90 minutes || [bbc] , substituted for Mohammad Abu Zraiq at 90 minutes || [bbc] , Yellow Card at 90 minutes plus 4",1
760500_49687202,760500,ARG-CPV R32,4',4.0,Argentina,1,Rodrigo De Paul,0,2,Sidny Cabral (Cabo Verde) wins a free kick on the left wing. || Foul by Rodrigo De Paul (Argentina).,5,bbc,"[bbc] Ghana (Sat, 02:30 BST): BBC Radio 5 Live and live text coverage || [bbc] Colombia v Ghana (Sat, 02:30 BST) || [bbc] Colombia v Ghana (Sat, 2:30 BST)",1
760500_49687303,760500,ARG-CPV R32,10',10.0,Argentina,1,Cristian Romero,0,2,Jovane Cabral (Cabo Verde) wins a free kick in the attacking half. || Foul by Cristian Romero (Argentina).,0,,,0
760500_49687420,760500,ARG-CPV R32,17',17.0,Cape Verde,0,Jovane Cabral,0,2,Foul by Jovane Cabral (Cabo Verde). || Lionel Messi (Argentina) wins a free kick in the attacking half.,3,bbc,"[bbc] Egypt (19:00 BST): BBC One, BBC iPlayer, BBC Radio 5 Live and live text coverage || [bbc] Australia v Egypt (Fri, 19:00 BST) || [bbc] but there is growing optimism within the Egyptian camp that the captain could feature against the So",1
760500_49687422,760500,ARG-CPV R32,17',17.0,Cape Verde,0,,0,2,Foul by Jovane Cabral (Cabo Verde). || Lionel Messi (Argentina) wins a free kick in the attacking half.,3,bbc,"[bbc] Egypt (19:00 BST): BBC One, BBC iPlayer, BBC Radio 5 Live and live text coverage || [bbc] Australia v Egypt (Fri, 19:00 BST) || [bbc] but there is growing optimism within the Egyptian camp that the captain could feature against the So",1
760500_49687602,760500,ARG-CPV R32,32',32.0,Argentina,1,Nahuel Molina,0,2,Jovane Cabral (Cabo Verde) wins a free kick in the defensive half. || Foul by Nahuel Molina (Argentina).,0,,,0
