narration_id,source_type,source,country_family,event_id,match,date,seq,minute_raw,minute_num,text,flag_foul,flag_card,flag_goal,flag_var,flag_penalty,flag_sub,flag_severity
opta_760433_13,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,13,17',17.0,"Goal! Argentina 1, Algeria 0. Lionel Messi (Argentina) left footed shot from outside the box to the top right corner. Assisted by Rodrigo De Paul.",0,0,1,0,0,0,0
opta_760433_14,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,14,25',25.0,Delay in match for a drinks break.,0,0,0,0,0,0,0
opta_760433_15,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,15,28',28.0,Delay over. They are ready to continue.,0,0,0,0,0,0,0
opta_760433_16,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,16,31',31.0,Foul by Lionel Messi (Argentina).,1,0,0,0,0,0,0
opta_760433_17,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,17,31',31.0,Aïssa Mandi (Algeria) wins a free kick in the defensive half.,1,0,0,0,0,0,0
opta_760433_18,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,18,34',34.0,Alexis Mac Allister (Argentina) wins a free kick in the defensive half.,1,0,0,0,0,0,0
opta_760433_19,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,19,34',34.0,Foul by Amine Gouiri (Algeria).,1,0,0,0,0,0,0
opta_760433_20,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,20,36',36.0,Foul by Rafik Belghali (Algeria).,1,0,0,0,0,0,0
opta_760433_21,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,21,36',36.0,Thiago Almada (Argentina) wins a free kick in the attacking half.,1,0,0,0,0,0,0
opta_760433_22,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,22,37',37.0,Attempt missed. Lionel Messi (Argentina) left footed shot from more than 35 yards misses to the left from a direct free kick.,1,0,0,0,0,0,0
opta_760433_23,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,23,37',37.0,Aïssa Mandi (Algeria) wins a free kick in the defensive half.,1,0,0,0,0,0,0
opta_760433_24,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,24,37',37.0,Foul by Facundo Medina (Argentina).,1,0,0,0,0,0,0
opta_760433_25,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,25,39',39.0,"Offside, Argentina. Thiago Almada is caught offside.",0,0,0,0,0,0,0
opta_760433_26,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,26,40',40.0,"Corner, Algeria. Conceded by Emiliano Martínez.",0,0,0,0,0,0,0
opta_760433_27,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,27,41',41.0,Attempt missed. Farès Chaïbi (Algeria) header from the centre of the box misses to the left. Assisted by Hicham Boudaoui with a cross following a corner.,0,0,0,0,0,0,0
opta_760433_28,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,28,42',42.0,Attempt missed. Thiago Almada (Argentina) right footed shot from outside the box is high and wide to the right. Assisted by Enzo Fernández.,0,0,0,0,0,0,0
opta_760433_29,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,29,43',43.0,Foul by Alexis Mac Allister (Argentina).,1,0,0,0,0,0,0
opta_760433_30,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,30,43',43.0,Ibrahim Maza (Algeria) wins a free kick on the left wing.,1,0,0,0,0,0,0
opta_760433_31,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,31,44',44.0,Attempt missed. Farès Chaïbi (Algeria) right footed shot from outside the box is too high. Assisted by Aïssa Mandi.,0,0,0,0,0,0,0
opta_760433_32,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,32,45',45.0,"Attempt missed. Farès Chaïbi (Algeria) right footed shot from a difficult angle on the right is close, but misses to the right. Assisted by Anis Hadj Moussa.",0,0,0,0,0,0,0
opta_760433_33,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,33,45',45.0,Foul by Lautaro Martínez (Argentina).,1,0,0,0,0,0,0
opta_760433_34,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,34,45',45.0,Ramy Bensebaini (Algeria) wins a free kick in the defensive half.,1,0,0,0,0,0,0
opta_760433_35,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,35,45'+1',45.01,Fourth official has announced 4 minutes of added time.,0,0,0,0,0,0,0
opta_760433_36,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,36,45'+1',45.01,"Corner, Algeria. Conceded by Lisandro Martínez.",0,0,0,0,0,0,0
opta_760433_37,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,37,45'+4',45.04,Attempt blocked. Anis Hadj Moussa (Algeria) left footed shot from the right side of the box is blocked. Assisted by Rafik Belghali.,0,0,0,0,0,0,0
opta_760433_38,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,38,45'+4',45.04,Foul by Rafik Belghali (Algeria).,1,0,0,0,0,0,0
opta_760433_39,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,39,45'+4',45.04,Facundo Medina (Argentina) wins a free kick on the left wing.,1,0,0,0,0,0,0
opta_760433_40,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,40,45'+5',45.05,Attempt missed. Alexis Mac Allister (Argentina) header from the centre of the box is too high. Assisted by Lionel Messi with a cross following a set piece situation.,0,0,0,0,0,0,0
opta_760433_41,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,41,45'+5',45.05,"First Half ends, Argentina 1, Algeria 0.",0,0,0,0,0,0,0
opta_760433_42,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,42,45',45.0,"Substitution, Argentina. Nahuel Molina replaces Gonzalo Montiel.",0,0,0,0,0,1,0
opta_760433_43,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,43,45',45.0,"Second Half begins Argentina 1, Algeria 0.",0,0,0,0,0,0,0
opta_760433_44,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,44,48',48.0,Lionel Messi (Argentina) wins a free kick in the defensive half.,1,0,0,0,0,0,0
opta_760433_45,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,45,48',48.0,Foul by Hicham Boudaoui (Algeria).,1,0,0,0,0,0,0
opta_760433_46,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,46,51',51.0,Attempt missed. Lionel Messi (Argentina) left footed shot from outside the box is high and wide to the left. Assisted by Nahuel Molina.,0,0,0,0,0,0,0
opta_760433_47,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,47,51',51.0,Foul by Cristian Romero (Argentina).,1,0,0,0,0,0,0
opta_760433_48,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,48,51',51.0,Ibrahim Maza (Algeria) wins a free kick in the defensive half.,1,0,0,0,0,0,0
opta_760433_49,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,49,54',54.0,Attempt saved. Lautaro Martínez (Argentina) right footed shot from the right side of the box is saved in the bottom left corner by Luca Zidane (Algeria). Assisted by Lionel Messi with a through ball.,0,0,0,0,0,0,0
opta_760433_50,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,50,55',55.0,Amine Gouiri (Algeria) wins a free kick on the left wing.,1,0,0,0,0,0,0
opta_760433_51,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,51,55',55.0,Foul by Cristian Romero (Argentina).,1,0,0,0,0,0,0
opta_760433_52,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,52,55',55.0,"Substitution, Argentina. Nico González replaces Thiago Almada.",0,0,0,0,0,1,0
opta_760433_53,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,53,55',55.0,"Substitution, Argentina. Julián Alvarez replaces Lautaro Martínez.",0,0,0,0,0,1,0
opta_760433_54,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,54,57',57.0,Attempt blocked. Ibrahim Maza (Algeria) right footed shot from outside the box is blocked. Assisted by Farès Chaïbi.,0,0,0,0,0,0,0
opta_760433_55,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,55,59',59.0,"Corner, Argentina. Conceded by Aïssa Mandi.",0,0,0,0,0,0,0
opta_760433_56,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,56,60',60.0,Attempt saved. Alexis Mac Allister (Argentina) right footed shot from outside the box is saved in the centre of the goal by Luca Zidane (Algeria).,0,0,1,0,0,0,0
opta_760433_57,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,57,60',60.0,"Goal! Argentina 2, Algeria 0. Lionel Messi (Argentina) right footed shot from the centre of the box to the bottom right corner.",0,0,1,0,0,0,0
opta_760433_58,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,58,63',63.0,Foul by Hicham Boudaoui (Algeria).,1,0,0,0,0,0,0
opta_760433_59,opta,espn_opta,OFFICIAL,760433,ARG-ALG GS,2026-06-17,59,63',63.0,Enzo Fernández (Argentina) wins a free kick in the attacking half.,1,0,0,0,0,0,0
