event_id,match,date,minute,arg_fouls,opp_fouls,arg_cards,opp_cards,opta_lines,opta_foul_lines,opta_card_lines,media_lines,any_activity
760500,ARG-CPV R32,2026-07-03,24,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,25,0,0,0,0,1,0,0,0,1
760500,ARG-CPV R32,2026-07-03,26,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,27,0,0,0,0,1,0,0,0,1
760500,ARG-CPV R32,2026-07-03,28,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,29,0,0,0,0,1,0,0,0,1
760500,ARG-CPV R32,2026-07-03,30,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,31,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,32,1,0,0,0,2,2,0,0,1
760500,ARG-CPV R32,2026-07-03,33,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,34,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,35,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,36,0,0,0,0,1,0,0,0,1
760500,ARG-CPV R32,2026-07-03,37,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,38,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,39,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,40,0,1,0,0,2,2,0,0,1
760500,ARG-CPV R32,2026-07-03,41,0,0,0,0,1,0,0,0,1
760500,ARG-CPV R32,2026-07-03,42,0,1,0,0,2,2,0,0,1
760500,ARG-CPV R32,2026-07-03,43,1,1,0,0,4,4,0,0,1
760500,ARG-CPV R32,2026-07-03,44,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,45,1,0,0,0,6,2,0,0,1
760500,ARG-CPV R32,2026-07-03,46,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,47,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,48,0,0,0,0,1,0,0,0,1
760500,ARG-CPV R32,2026-07-03,49,0,0,0,0,3,0,0,0,1
760500,ARG-CPV R32,2026-07-03,50,1,0,0,0,2,2,0,0,1
760500,ARG-CPV R32,2026-07-03,51,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,52,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,53,1,0,0,0,2,2,0,0,1
760500,ARG-CPV R32,2026-07-03,54,0,0,0,0,1,0,0,0,1
760500,ARG-CPV R32,2026-07-03,55,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,56,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,57,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,58,1,0,0,0,2,2,0,0,1
760500,ARG-CPV R32,2026-07-03,59,0,0,0,0,1,0,0,0,1
760500,ARG-CPV R32,2026-07-03,60,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,61,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,62,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,63,0,0,0,0,3,0,0,0,1
760500,ARG-CPV R32,2026-07-03,64,0,0,0,0,1,0,0,0,1
760500,ARG-CPV R32,2026-07-03,65,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,66,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,67,0,0,0,0,3,0,0,0,1
760500,ARG-CPV R32,2026-07-03,68,0,1,0,1,3,3,1,0,1
760500,ARG-CPV R32,2026-07-03,69,0,0,0,0,1,0,0,0,1
760500,ARG-CPV R32,2026-07-03,70,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,71,0,1,0,0,2,2,0,0,1
760500,ARG-CPV R32,2026-07-03,72,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,73,0,0,0,0,4,0,0,0,1
760500,ARG-CPV R32,2026-07-03,74,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,75,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,76,0,0,0,0,1,0,0,0,1
760500,ARG-CPV R32,2026-07-03,77,1,0,0,0,2,2,0,0,1
760500,ARG-CPV R32,2026-07-03,78,0,1,0,0,3,3,0,0,1
760500,ARG-CPV R32,2026-07-03,79,0,1,0,0,2,2,0,0,1
760500,ARG-CPV R32,2026-07-03,80,0,0,0,0,2,0,0,0,1
760500,ARG-CPV R32,2026-07-03,81,0,0,0,0,1,0,0,0,1
760500,ARG-CPV R32,2026-07-03,82,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,83,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,84,0,0,0,0,4,0,0,0,1
760500,ARG-CPV R32,2026-07-03,85,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,86,0,0,0,0,2,0,0,0,1
760500,ARG-CPV R32,2026-07-03,87,0,0,0,0,2,0,0,0,1
760500,ARG-CPV R32,2026-07-03,88,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,89,0,0,0,0,1,0,0,0,1
760500,ARG-CPV R32,2026-07-03,90,2,2,0,0,14,8,0,0,1
760500,ARG-CPV R32,2026-07-03,91,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,92,0,0,0,0,2,0,0,0,1
760500,ARG-CPV R32,2026-07-03,93,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,94,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,95,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,96,0,0,0,0,2,0,0,0,1
760500,ARG-CPV R32,2026-07-03,97,0,0,0,0,3,0,0,0,1
760500,ARG-CPV R32,2026-07-03,98,0,0,0,0,3,0,0,0,1
760500,ARG-CPV R32,2026-07-03,99,0,0,0,0,1,0,0,0,1
760500,ARG-CPV R32,2026-07-03,100,0,0,0,0,2,0,0,0,1
760500,ARG-CPV R32,2026-07-03,101,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,102,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,103,0,0,0,0,1,0,0,0,1
760500,ARG-CPV R32,2026-07-03,104,0,0,0,0,1,0,0,0,1
760500,ARG-CPV R32,2026-07-03,105,0,0,0,0,5,0,0,0,1
760500,ARG-CPV R32,2026-07-03,106,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,107,0,1,0,0,2,2,0,0,1
760500,ARG-CPV R32,2026-07-03,108,0,0,0,0,1,0,0,0,1
760500,ARG-CPV R32,2026-07-03,109,0,0,0,0,1,0,0,0,1
760500,ARG-CPV R32,2026-07-03,110,0,1,0,0,2,2,0,0,1
760500,ARG-CPV R32,2026-07-03,111,0,0,0,0,3,0,0,0,1
760500,ARG-CPV R32,2026-07-03,112,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,113,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,114,0,0,0,0,1,0,0,0,1
760500,ARG-CPV R32,2026-07-03,115,1,0,1,0,3,3,1,0,1
760500,ARG-CPV R32,2026-07-03,116,0,0,0,0,2,0,0,0,1
760500,ARG-CPV R32,2026-07-03,117,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,118,0,0,0,0,0,0,0,0,0
760500,ARG-CPV R32,2026-07-03,119,0,0,0,0,3,0,0,0,1
760500,ARG-CPV R32,2026-07-03,120,0,0,0,0,6,0,0,0,1
760509,ARG-EGY R16,2026-07-07,0,0,0,0,0,0,0,0,10,1
760509,ARG-EGY R16,2026-07-07,1,0,0,0,0,0,0,0,0,0
760509,ARG-EGY R16,2026-07-07,2,0,0,0,0,0,0,0,2,1
760509,ARG-EGY R16,2026-07-07,3,0,0,0,0,0,0,0,0,0
760509,ARG-EGY R16,2026-07-07,4,0,0,0,0,0,0,0,0,0
760509,ARG-EGY R16,2026-07-07,5,1,0,0,0,2,2,0,0,1
760509,ARG-EGY R16,2026-07-07,6,0,0,0,0,0,0,0,0,0
760509,ARG-EGY R16,2026-07-07,7,1,0,0,0,2,2,0,0,1
760509,ARG-EGY R16,2026-07-07,8,0,0,0,0,0,0,0,0,0
760509,ARG-EGY R16,2026-07-07,9,0,0,0,0,1,0,0,0,1
760509,ARG-EGY R16,2026-07-07,10,0,0,0,0,0,0,0,0,0
760509,ARG-EGY R16,2026-07-07,11,1,0,0,0,2,2,0,3,1
760509,ARG-EGY R16,2026-07-07,12,0,0,0,0,0,0,0,0,0
760509,ARG-EGY R16,2026-07-07,13,1,0,0,0,2,2,0,0,1
760509,ARG-EGY R16,2026-07-07,14,0,0,0,0,1,0,0,0,1
760509,ARG-EGY R16,2026-07-07,15,0,0,0,0,1,0,0,2,1
760509,ARG-EGY R16,2026-07-07,16,0,0,0,0,0,0,0,0,0
760509,ARG-EGY R16,2026-07-07,17,0,0,0,0,0,0,0,0,0
760509,ARG-EGY R16,2026-07-07,18,0,1,0,0,2,2,0,0,1
760509,ARG-EGY R16,2026-07-07,19,0,1,0,0,2,2,0,0,1
760509,ARG-EGY R16,2026-07-07,20,0,0,0,0,0,0,0,0,0
760509,ARG-EGY R16,2026-07-07,21,1,0,0,0,3,2,0,1,1
760509,ARG-EGY R16,2026-07-07,22,0,0,0,0,0,0,0,0,0
760509,ARG-EGY R16,2026-07-07,23,1,0,0,0,3,2,0,0,1
760509,ARG-EGY R16,2026-07-07,24,0,0,0,0,0,0,0,0,0
760509,ARG-EGY R16,2026-07-07,25,0,0,0,0,0,0,0,0,0
760509,ARG-EGY R16,2026-07-07,26,0,0,0,0,1,0,0,0,1
760509,ARG-EGY R16,2026-07-07,27,0,0,0,0,0,0,0,0,0
760509,ARG-EGY R16,2026-07-07,28,0,0,0,0,1,0,0,0,1
760509,ARG-EGY R16,2026-07-07,29,0,0,0,0,1,0,0,0,1
760509,ARG-EGY R16,2026-07-07,30,0,1,0,0,2,2,0,0,1
760509,ARG-EGY R16,2026-07-07,31,0,0,0,0,1,1,0,0,1
760509,ARG-EGY R16,2026-07-07,32,0,0,0,0,1,0,0,0,1
760509,ARG-EGY R16,2026-07-07,33,0,1,0,0,2,2,0,0,1
760509,ARG-EGY R16,2026-07-07,34,0,0,0,0,0,0,0,0,0
760509,ARG-EGY R16,2026-07-07,35,0,0,0,0,1,0,0,0,1
760509,ARG-EGY R16,2026-07-07,36,0,0,0,0,0,0,0,0,0
760509,ARG-EGY R16,2026-07-07,37,0,0,0,0,0,0,0,0,0
760509,ARG-EGY R16,2026-07-07,38,0,0,0,0,1,0,0,0,1
760509,ARG-EGY R16,2026-07-07,39,0,0,0,0,3,0,0,0,1
760509,ARG-EGY R16,2026-07-07,40,0,0,0,0,0,0,0,0,0
760509,ARG-EGY R16,2026-07-07,41,0,0,0,0,1,0,0,0,1
760509,ARG-EGY R16,2026-07-07,42,0,0,0,0,0,0,0,0,0
760509,ARG-EGY R16,2026-07-07,43,0,0,0,0,1,0,0,0,1
760509,ARG-EGY R16,2026-07-07,44,0,1,0,0,2,2,0,0,1
760509,ARG-EGY R16,2026-07-07,45,2,0,0,0,11,4,0,0,1
760509,ARG-EGY R16,2026-07-07,46,1,0,0,0,2,2,0,2,1
760509,ARG-EGY R16,2026-07-07,47,0,0,0,0,1,0,0,0,1
760509,ARG-EGY R16,2026-07-07,48,2,0,0,0,4,4,0,0,1
760509,ARG-EGY R16,2026-07-07,49,0,0,0,0,0,0,0,0,0
760509,ARG-EGY R16,2026-07-07,50,0,0,0,0,0,0,0,0,0
760509,ARG-EGY R16,2026-07-07,51,0,0,0,0,0,0,0,0,0
760509,ARG-EGY R16,2026-07-07,52,0,1,0,0,2,2,0,0,1
760509,ARG-EGY R16,2026-07-07,53,0,0,0,0,1,0,0,0,1
760509,ARG-EGY R16,2026-07-07,54,0,0,0,0,2,0,0,0,1
760509,ARG-EGY R16,2026-07-07,55,0,1,0,0,2,2,0,0,1
760509,ARG-EGY R16,2026-07-07,56,0,0,0,0,0,0,0,0,0
760509,ARG-EGY R16,2026-07-07,57,0,0,0,0,0,0,0,0,0
760509,ARG-EGY R16,2026-07-07,58,0,1,0,0,4,2,0,0,1
760509,ARG-EGY R16,2026-07-07,59,0,0,0,0,1,0,0,0,1
760509,ARG-EGY R16,2026-07-07,60,0,0,0,0,0,0,0,0,0
760509,ARG-EGY R16,2026-07-07,61,0,0,0,0,2,0,0,0,1
760509,ARG-EGY R16,2026-07-07,62,0,0,0,0,0,0,0,0,0
760509,ARG-EGY R16,2026-07-07,63,0,0,0,0,0,0,0,0,0
760509,ARG-EGY R16,2026-07-07,64,0,1,0,0,2,2,0,0,1
760509,ARG-EGY R16,2026-07-07,65,0,0,0,0,0,0,0,0,0
760509,ARG-EGY R16,2026-07-07,66,0,0,0,0,3,0,0,4,1
760509,ARG-EGY R16,2026-07-07,67,0,0,0,0,2,0,0,1,1
760509,ARG-EGY R16,2026-07-07,68,0,0,0,0,0,0,0,0,0
760509,ARG-EGY R16,2026-07-07,69,0,0,0,0,0,0,0,0,0
760509,ARG-EGY R16,2026-07-07,70,0,0,0,0,1,0,0,0,1
760509,ARG-EGY R16,2026-07-07,71,0,0,0,0,1,0,0,0,1
760509,ARG-EGY R16,2026-07-07,72,0,0,0,0,0,0,0,0,0
760509,ARG-EGY R16,2026-07-07,73,0,0,0,0,3,0,0,4,1
760509,ARG-EGY R16,2026-07-07,74,0,0,0,0,1,0,0,0,1
760509,ARG-EGY R16,2026-07-07,75,0,0,0,0,1,0,0,0,1
760509,ARG-EGY R16,2026-07-07,76,0,0,0,0,1,0,0,0,1
760509,ARG-EGY R16,2026-07-07,77,0,0,0,0,1,0,0,0,1
760509,ARG-EGY R16,2026-07-07,78,0,0,0,0,2,0,0,0,1
760509,ARG-EGY R16,2026-07-07,79,0,0,0,0,1,0,0,1,1
760509,ARG-EGY R16,2026-07-07,80,0,0,0,0,1,0,0,2,1
760509,ARG-EGY R16,2026-07-07,81,0,0,0,0,0,0,0,0,0
