event_id,match,minute,arg_fouls,opp_fouls,arg_cards,opp_cards,fouls_with_media_families,media_coverage_rows,any_event
760517,ESP-ARG Final,111,2,0,1,0,1,1,1
760517,ESP-ARG Final,112,0,0,0,0,0,0,0
760517,ESP-ARG Final,113,0,0,0,0,0,0,0
760517,ESP-ARG Final,114,0,1,0,0,0,0,1
760517,ESP-ARG Final,115,0,0,0,0,0,0,0
760517,ESP-ARG Final,116,0,0,0,0,0,0,0
760517,ESP-ARG Final,117,0,0,0,0,0,0,0
760517,ESP-ARG Final,118,0,0,0,0,0,0,0
760517,ESP-ARG Final,119,0,1,0,0,0,0,1
760517,ESP-ARG Final,120,1,2,0,0,0,0,1
